iteration,Method,Classifier,Metric,Mean
5,KNN (k=10),XGBoost,accuracy,0.6520386717108029
5,KNN (k=10),XGBoost,f1,0.6352198960303082
5,MissForest,LogisticRegression,accuracy,0.608328829640305
5,MissForest,LogisticRegression,f1,0.5883971311921503
5,MissForest,RandomForest,accuracy,0.6411457395063953
5,MissForest,RandomForest,f1,0.6199485594402164
5,MissForest,XGBoost,accuracy,0.6171020236594007
5,MissForest,XGBoost,f1,0.6036439738780957
5,MICE,LogisticRegression,accuracy,0.5984927640665346
5,MICE,LogisticRegression,f1,0.5802810633191091
5,MICE,RandomForest,accuracy,0.6039812646370023
5,MICE,RandomForest,f1,0.5808823109916144
5,MICE,XGBoost,accuracy,0.5624151804479673
5,MICE,XGBoost,f1,0.5474522066682844
6,No Handling,LogisticRegression,accuracy,0.5082417582417582
6,No Handling,LogisticRegression,f1,0.47778663644048264
6,No Handling,RandomForest,accuracy,0.5123626373626373
6,No Handling,RandomForest,f1,0.4745248341402188
6,No Handling,XGBoost,accuracy,0.5508241758241759
6,No Handling,XGBoost,f1,0.5301365301365302
6,XGBoost Native,XGBoost,accuracy,0.5668047799195339
6,XGBoost Native,XGBoost,f1,0.5528212788241241
6,Mean,LogisticRegression,accuracy,0.5766408454933045
6,Mean,LogisticRegression,f1,0.5591433176796828
6,Mean,RandomForest,accuracy,0.5733321323485259
6,Mean,RandomForest,f1,0.5499550410422029
6,Mean,XGBoost,accuracy,0.5503693028283192
6,Mean,XGBoost,f1,0.5359173631445611
6,Median,LogisticRegression,accuracy,0.5755419443944034
6,Median,LogisticRegression,f1,0.5565240248329513
6,Median,RandomForest,accuracy,0.5711103104545726
6,Median,RandomForest,f1,0.5485021172895548
6,Median,XGBoost,accuracy,0.5612862547288776
6,Median,XGBoost,f1,0.5464840169392972
6,KNN (k=5),LogisticRegression,accuracy,0.6554074340959588
6,KNN (k=5),LogisticRegression,f1,0.6373204327347926
6,KNN (k=5),RandomForest,accuracy,0.6805680658139674
6,KNN (k=5),RandomForest,f1,0.6612621380158028
6,KNN (k=5),XGBoost,accuracy,0.6684681438779798
6,KNN (k=5),XGBoost,f1,0.6530798218622959
6,KNN (k=10),LogisticRegression,accuracy,0.6368281991232811
6,KNN (k=10),LogisticRegression,f1,0.6189546650952256
6,KNN (k=10),RandomForest,accuracy,0.6663303909205549
6,KNN (k=10),RandomForest,f1,0.6440281635408842
6,KNN (k=10),XGBoost,accuracy,0.6597249744790727
6,KNN (k=10),XGBoost,f1,0.6438314455825263
6,MissForest,LogisticRegression,accuracy,0.6050801657359034
6,MissForest,LogisticRegression,f1,0.586833369609934
6,MissForest,RandomForest,accuracy,0.6335074761304269
6,MissForest,RandomForest,f1,0.6137697801984544
6,MissForest,XGBoost,accuracy,0.6247763165795953
6,MissForest,XGBoost,f1,0.6115277909959439
6,MICE,LogisticRegression,accuracy,0.5886446886446887
6,MICE,LogisticRegression,f1,0.5685062338511573
6,MICE,RandomForest,accuracy,0.6050981805080166
6,MICE,RandomForest,f1,0.5831777350339233
6,MICE,XGBoost,accuracy,0.5776736924277908
6,MICE,XGBoost,f1,0.5604485147192434
7,No Handling,LogisticRegression,accuracy,0.5738636363636362
7,No Handling,LogisticRegression,f1,0.5466251341251341
7,No Handling,RandomForest,accuracy,0.44507575757575757
7,No Handling,RandomForest,f1,0.41335306108033376
7,No Handling,XGBoost,accuracy,
7,No Handling,XGBoost,f1,
7,XGBoost Native,XGBoost,accuracy,0.576610820873116
7,XGBoost Native,XGBoost,f1,0.5569473502501556
7,Mean,LogisticRegression,accuracy,0.5601933585540143
7,Mean,LogisticRegression,f1,0.5388669613500116
7,Mean,RandomForest,accuracy,0.5722632558698132
7,Mean,RandomForest,f1,0.5500097672380646
7,Mean,XGBoost,accuracy,0.5699993995075963
7,Mean,XGBoost,f1,0.5526185979467729
7,Median,LogisticRegression,accuracy,0.5558337837026361
7,Median,LogisticRegression,f1,0.5340517083665451
7,Median,RandomForest,accuracy,0.5831381733021077
7,Median,RandomForest,f1,0.5603263198108375
7,Median,XGBoost,accuracy,0.542664985287936
7,Median,XGBoost,f1,0.5272159653102143
7,KNN (k=5),LogisticRegression,accuracy,0.6357052783282291
7,KNN (k=5),LogisticRegression,f1,0.6184382669057413
7,KNN (k=5),RandomForest,accuracy,0.6685041734222062
7,KNN (k=5),RandomForest,f1,0.6487755067040943
7,KNN (k=5),XGBoost,accuracy,0.645535338977962
7,KNN (k=5),XGBoost,f1,0.6309346027577348
7,KNN (k=10),LogisticRegression,accuracy,0.6258752176784963
7,KNN (k=10),LogisticRegression,f1,0.6076463058017775
7,KNN (k=10),RandomForest,accuracy,0.6794631597910288
7,KNN (k=10),RandomForest,f1,0.6589867552856219
7,KNN (k=10),XGBoost,accuracy,0.6608599051222003
7,KNN (k=10),XGBoost,f1,0.647091433979017
7,MissForest,LogisticRegression,accuracy,0.5995856602413979
7,MissForest,LogisticRegression,f1,0.5801246338883332
7,MissForest,RandomForest,accuracy,0.6455233291298865
7,MissForest,RandomForest,f1,0.6240140125678727
7,MissForest,XGBoost,accuracy,0.6411337296583197
7,MissForest,XGBoost,f1,0.6282804649692068
