iteration,Method,Classifier,Metric,Mean
7,KNN (k=5),LogisticRegression,f1,0.5543937249560231
7,KNN (k=5),RandomForest,accuracy,0.5570325427468285
7,KNN (k=5),RandomForest,f1,0.527567600961506
7,KNN (k=5),XGBoost,accuracy,0.5596800882515168
7,KNN (k=5),XGBoost,f1,0.5376376825475266
7,KNN (k=10),LogisticRegression,accuracy,0.5910369553226695
7,KNN (k=10),LogisticRegression,f1,0.5573951712063532
7,KNN (k=10),RandomForest,accuracy,0.577422320279463
7,KNN (k=10),RandomForest,f1,0.5500446730652438
7,KNN (k=10),XGBoost,accuracy,0.5516271373414231
7,KNN (k=10),XGBoost,f1,0.5338960690989305
7,MissForest,LogisticRegression,accuracy,0.6303916161059019
7,MissForest,LogisticRegression,f1,0.6080075924674707
7,MissForest,RandomForest,accuracy,0.6671355028497885
7,MissForest,RandomForest,f1,0.6465236836549534
7,MissForest,XGBoost,accuracy,0.6603695532266961
7,MissForest,XGBoost,f1,0.649371781028395
7,MICE,LogisticRegression,accuracy,0.5991910277624564
7,MICE,LogisticRegression,f1,0.5678428178397383
7,MICE,RandomForest,accuracy,0.5882699025556168
7,MICE,RandomForest,f1,0.5617305833484694
7,MICE,XGBoost,accuracy,0.58284611141754
7,MICE,XGBoost,f1,0.5705756276490481
8,No Handling,LogisticRegression,accuracy,0.5857254901960784
8,No Handling,LogisticRegression,f1,0.5512497466165023
8,No Handling,RandomForest,accuracy,0.5381176470588236
8,No Handling,RandomForest,f1,0.4842970721158995
8,No Handling,XGBoost,accuracy,0.5101176470588236
8,No Handling,XGBoost,f1,0.4898891741079422
8,XGBoost Native,XGBoost,accuracy,0.5475363118220261
8,XGBoost Native,XGBoost,f1,0.5249999929200033
8,Mean,LogisticRegression,accuracy,0.5923974995403567
8,Mean,LogisticRegression,f1,0.5599847015502581
8,Mean,RandomForest,accuracy,0.5787920573634859
8,Mean,RandomForest,f1,0.5452171344804874
8,Mean,XGBoost,accuracy,0.5448060305203162
